award_title,award_words,major_keywords,vision_contents,prestige,prestige_score,Big Major Category #1,Big Major Category #2,Big Major Category #3,Big Major Category #4
Cayley Contest,,No Extra Match,NaN,Very Selective,4,math_sci,,,
"CFDA/Teen Vogue Scholarship, in partnership with Target",,No Extra Match,NaN,Very Selective,4,visualart,,,
Chem e-Car Competition,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Chemathon,,No Extra Match,NaN,Selective,3,math_sci,,,
Chinese Bridge Speech Competition,Confucius Institute,No Extra Match,NaN,Selective,3,humanities,,,
Chinese Speech Competition and Character Bee,,No Extra Match,NaN,Selective,3,humanities,,,
Christopher Columbus Awards ,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Collegiate Inventors,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Columbia Scholastic Press Association (CSPA) Awards,,No Extra Match,NaN,Very Selective,4,Communication,humanities,visualart,
Columbia University Science Honors Program,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Communication on Pure and Applied Mathematics,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Computational Materials Science,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Congressional Art Competition,,No Extra Match,NaN,Very Selective,4,visualart,,,
Conrad Spirit of Innovation Challenge,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Constitutional Academy ,,No Extra Match,NaN,Mediocre,2,social_sci,,,
Cornell's High School Fashion Design Award,,No Extra Match,NaN,Very Selective,4,visualart,,,
Craftsman/NSTA Young Inventors Awards Program,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Creative Communication Contest,,No Extra Match,NaN,Selective,3,humanities,,,
Creative Core business Idea Competition,,No Extra Match,NaN,Selective,3,business,,,
Critical Reviews in Biomedical Engineeering,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Crux Mathematicorum with Mathematical Mayhem ,,No Extra Match,NaN,Very Selective,4,math_sci,,,
CT-COLT Poetry Recitation Contest,,No Extra Match,NaN,Selective,3,humanities,,,
Current Opinion in Immunology,,No Extra Match,NaN,Very Selective,4,math_sci,,,
DALF (Diploma of Advanced French Language Studies),,No Extra Match,NaN,Selective,3,humanities,,,
Dartmouth International Science Essay Contest,,No Extra Match,NaN,Very Selective,4,math_sci,,,
DECA (Distributive Education Clubs of America) International Career Development Conference,,No Extra Match,NaN,Very Selective,4,business,,,
DEF CON Contests,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
DELF (Diploma in French Studies),,No Extra Match,NaN,Selective,3,humanities,,,
Destination ImagiNation,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Discover Design National High School Architecture Competition,,No Extra Match,NaN,Very Selective,4,visualart,,,
Discovery Channel Young Scientist Challenge,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Donghwa East Meets West International Essay Competition,,No Extra Match,NaN,Very Selective,4,social_sci,,,
Dream Deferred Essay Contest,,No Extra Match,NaN,Very Selective,4,humanities,,,
DreamQuest One Poetry and Writing Contest,,No Extra Match,NaN,Selective,3,humanities,,,
Drexel University High School Photography Contest,,No Extra Match,NaN,Very Selective,4,visualart,,,
Dropping In a Microgravity Environment(DIME),,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Dropping In a Physical phenomenon,,No Extra Match,NaN,Very Selective,4,math_sci,,,
DSSV (Deutscher Sprach und Schulverein),,No Extra Match,NaN,Selective,3,humanities,,,
Duke Mathematical Journal,,No Extra Match,NaN,Very Selective,4,math_sci,,,
DuPont Challenge Science Essay Contest,,No Extra Match,NaN,Extremely Selective,5,math_sci,Engineering,,
Dyson&IDSA Eye for Why - Student Design Competition,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Ecology Letters,,No Extra Match,NaN,Very Selective,4,math_sci,,,
eCYBERMISSION,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
ECybermission Program,,No Extra Match,NaN,Very Selective,4,math_sci,,,
EDN,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
EE Times,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
E-idea competition 2011 ,,No Extra Match,NaN,Very Selective,4,business,,,
Electronic Design,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Energy & Environment,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Engineering Design Challenge,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Engineering Encounters Bridge Design Contest (formerly West Point Bridge Design Contest),,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Environmental literacy council,,No Extra Match,NaN,Selective,3,math_sci,,,
EPIC New Voices Young Writer's Competition,,No Extra Match,NaN,Selective,3,humanities,,,
ESI & ESA,Expo-Sciences,No Extra Match,NaN,Extremely Selective,5,math_sci,tech_eng,,
ES-Luxembourg,Expo-Sciences Luxembourg,No Extra Match,NaN,Extremely Selective,5,math_sci,tech_eng,,
Euclid Contest,,No Extra Match,NaN,Very Selective,4,math_sci,,,
EUCYS,EU Contest for Young Scientists,No Extra Match,NaN,Extremely Selective,5,math_sci,tech_eng,,
Eurasian Schools Debate Championship,,No Extra Match,NaN,Very Selective,4,social_sci,,,
European Journal of Immunology,,No Extra Match,NaN,Very Selective,4,math_sci,,,
European Nuclear Society Young Generation,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
EurOpen International Debate Tournament,,No Extra Match,NaN,Very Selective,4,social_sci,,,
Exeter Short Story Competition (UK),,No Extra Match,NaN,Very Selective,4,humanities,,,
Explora Vision by Toshiba ,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Eye on Science: A Student Journal in science and technology ,,No Extra Match,NaN,Selective,3,math_sci,,,
FALCONIUM      ,,No Extra Match,NaN,Very Selective,4,math_sci,,,
FAU business Plan Competition,,No Extra Match,NaN,Selective,3,business,,,
Fed Challenge,,No Extra Match,NaN,Very Selective,4,social_sci,,,
FedEx Express/Junior Achievement International Trade Challenge (ITC),,No Extra Match,NaN,Very Selective,4,business,,,
Feminist Studies(Journal),,No Extra Match,NaN,Very Selective,4,humanities,,,
Fermat Contest,,No Extra Match,NaN,Very Selective,4,math_sci,,,
FIRE's Freedom in Academia Essay Contest,,No Extra Match,NaN,Very Selective,4,humanities,,,
FIRST Lego League,FLL,No Extra Match,NaN,Selective,3,tech_eng,,,
FIRST LEGO League,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
FIRST LEGO League,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
FIRST Step to Nobel Prize in Physics,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Fluid Phase Equilibria,,No Extra Match,NaN,Very Selective,4,math_sci,,,
FRA Americanism Essay Contest,,No Extra Match,NaN,Very Selective,4,humanities,,,
Fraser Institute Essay Contest,,No Extra Match,NaN,Very Selective,4,social_sci,,,
"Freedom from Religion Foundation Student Scholarship Essay Contests
",FFRF,No Extra Match,NaN,Very Selective,4,humanities,,,
French for the Future National Essay Contest,,No Extra Match,NaN,Selective,3,humanities,,,
French Language Fair Contests at Brigham Young University,,No Extra Match,NaN,Selective,3,humanities,,,
Fryer Contest,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Future business Leaders of America (FBLA),,No Extra Match,NaN,Selective,3,social_sci,,,
Future business Leaders of America Conference,,No Extra Match,NaN,Very Selective,4,business,,,
Future City Competition ,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Future Problem Solving Program,,No Extra Match,NaN,Very Selective,4,social_sci,,,
Galois Contest,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Game Art Contest,,No Extra Match,NaN,Very Selective,4,visualart,,,
Genetica,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Genetical Biology,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Genius Olympiad (International High School Environment Project Olympiad),,No Extra Match,NaN,Very Selective,4,math_sci,,,
German High School Day at UIC,,No Extra Match,NaN,Selective,3,humanities,,,
German National Foreign Language Competition,,No Extra Match,NaN,Selective,3,humanities,,,
Giffords Foundation Funds Four Arts and Writing Prize,,No Extra Match,NaN,Selective,3,humanities,,,
Global Enterprise Challenge,,No Extra Match,NaN,Very Selective,4,business,,,
Global Social Entrepreneurship Competition (GSEC),,No Extra Match,NaN,Very Selective,4,business,,,
Global Student Entrepreneur Award for high school students,,No Extra Match,NaN,Very Selective,4,business,,,
Global Summit on Sustainable Development & Biodiversity,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Global Venture Labs Investment Competition (VLIC),,No Extra Match,NaN,Very Selective,4,business,,,
Global Virtual Classroom Contest,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Gloria Barron Prize Young Heroes,,No Extra Match,NaN,Very Selective,4,social_sci,,,
Google Online Marketing Challenge,,No Extra Match,NaN,Very Selective,4,business,,,
Governor’s School for Mathematics,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Grand View University Art & Design Online  High School Art Competition,,No Extra Match,NaN,Very Selective,4,visualart,,,
Greater Toronto Area High School Psychology Conference and Psychathlon,,No Extra Match,NaN,Very Selective,4,social_sci,,,
Green Cup Energy Challenge,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Growing Up Asian in America Art & Essay Contest ,,No Extra Match,NaN,Very Selective,4,humanities,,,
Gulen Institute Youth Platform Essay Contest,,No Extra Match,NaN,Very Selective,4,humanities,,,
Harvard Book Prize & Harvard Book Award,,No Extra Match,NaN,Selective,3,humanities,,,
Harvard Model Congress - Asia,,No Extra Match,NaN,Selective,3,social_sci,,,
"Harvard Model Congress- Boston, San Francisco",,No Extra Match,NaN,Selective,3,social_sci,,,
Harvard Speech and Debate Tournament,,No Extra Match,NaN,Very Selective,4,social_sci,,,
Harvard-MIT Math Tournament,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Healing the Children,,No Extra Match,NaN,Selective,3,math_sci,,,
Health Informatics Journal ,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Health Occupations Students of America,,No Extra Match,NaN,Selective,3,math_sci,,,
Health Occupations Students of America,,No Extra Match,NaN,Selective,3,math_sci,,,
Heart of Europe Debating Tournament,,No Extra Match,NaN,Very Selective,4,social_sci,,,
Helvetica Chimica Acta,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Heredity,,No Extra Match,NaN,Very Selective,4,math_sci,,,
High School Concerto Competition by the US Navy Band,,No Extra Match,NaN,Selective,3,Music,,,
High School Mathematical Contest in Modeling (HiMCM),,No Extra Match,NaN,Very Selective,4,math_sci,,,
High School Science Journal       ,,No Extra Match,NaN,Very Selective,4,math_sci,,,
High-Phi Essay Contest,,No Extra Match,NaN,Very Selective,4,humanities,,,
Holocaust Remembrance Project Essay Contest,,No Extra Match,NaN,Very Selective,4,humanities,,,
Hong Kong Poly U Global Students Challenge,,No Extra Match,NaN,Very Selective,4,business,,,
Hospitality Scholarship Sponsored by Wisconsin Dells Educational Foundation,,No Extra Match,NaN,Selective,3,Visual Art,,,
Hotchkiss High School Film Festival,,No Extra Match,NaN,Selective,3,visualart,Communication,,
Hypatia Contest,,No Extra Match,NaN,Very Selective,4,math_sci,,,
IASAS (Interscholastic Association of Southeast Asian Schools),,No Extra Match,NaN,Mediocre,2,social_sci,,,
IDEA Karl Popper International Debate Championships,,No Extra Match,NaN,Very Selective,4,social_sci,,,
IEEE CIS & RAM Conference ,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
IEEE Spectrum,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
IEEE Wireless Communication,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
I-FEST2,International Festival of Engineering and Technology in Tunisia,No Extra Match,NaN,Extremely Selective,5,math_sci,tech_eng,,
iGem for High School,,No Extra Match,NaN,Very Selective,4,math_sci,,,
IISPC(Independent School's Public Speaking Championships),,No Extra Match,NaN,Very Selective,4,social_sci,,,
ILO: International Lingusitics Olympid,,No Extra Match,NaN,Very Selective,4,humanities,,,
Imagine Cup,,No Extra Match,NaN,Very Selective,4,business,,,
Indiana U High School Composition Competition,,No Extra Match,NaN,Selective,3,Music,,,
Industrial Engineering Chemistry Research,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Innotribe Startup Challenge ,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Institute for the Culinary Arts High School Culinary Invitational,,No Extra Match,NaN,Very Selective,4,Visual Art,,,
Intel Global Challenge at UC Berkeley,,No Extra Match,NaN,Very Selective,4,business,,,
Intel International Science and Engineering Fair (ISEF),,No Extra Match,NaN,Very Selective,4,math_sci,,,
Intel Science Talent Search,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Interdisciplinary Contest in Modeling ,,No Extra Match,NaN,Very Selective,4,math_sci,,,
International Astronomy Olympiad,,No Extra Match,NaN,Extremely Selective,5,math_sci,,,
International BioGENEius Challenge (hosted by Biotechnology Institute),,No Extra Match,NaN,Very Selective,4,tech_eng,,,
International Biology Olympiad,IBO,No Extra Match,NaN,Extremely Selective,5,math_sci,,,
International Biology Olympiad,,No Extra Match,NaN,Very Selective,4,math_sci,,,
International Brain Bee,,No Extra Match,NaN,Very Selective,4,math_sci,,,
International Bridge Building Contest,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
International Chemistry Olympiad,IChO,No Extra Match,NaN,Extremely Selective,5,math_sci,,,
International Chemistry Olympiad,,No Extra Match,NaN,Very Selective,4,math_sci,,,
International Cyber Fair,,No Extra Match,NaN,Very Selective,4,visualart,Communication,,
International Earth Science Olympiad,IESO,No Extra Match,NaN,Extremely Selective,5,math_sci,,,
International English Writing Contest,,No Extra Match,NaN,Selective,3,humanities,,,
International Environment Sustainability Project Olympiad,INESPO,No Extra Match,NaN,Extremely Selective,5,social_sci,,,
International Journal for Numerical Methods in Fluids,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
International Journal of Computational Biology and Drug Design,,No Extra Match,NaN,Very Selective,4,#N/A,,,
International Journal of Fracture,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
International Journal of Obesity,,No Extra Match,NaN,Very Selective,4,math_sci,,,
International Journal of Plant Sciences,,No Extra Match,NaN,Very Selective,4,math_sci,,,
International Junior Science Olympiad,JISO,No Extra Match,NaN,Very Selective,4,math_sci,,,
International Mathematical Olympiad,IMO,No Extra Match,NaN,Extremely Selective,5,math_sci,,,
International Olympiad in Informatics,IOI,No Extra Match,NaN,Extremely Selective,5,tech_eng,,,
International Olympiad in Informatics. ,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
International Olympiad on Astronomy and Astrophysics,IOAA,No Extra Match,NaN,Extremely Selective,5,math_sci,,,
International Organization on Shape Memory and Superlastic Technologies,,No Extra Match,NaN,Very Selective,4,math_sci,,,
International Philisophy Olympiad,,No Extra Match,NaN,Very Selective,4,humanities,,,
International Physics Olympiad,IPhO,No Extra Match,NaN,Extremely Selective,5,math_sci,,,
International Physics Olympiad,,No Extra Match,NaN,Very Selective,4,math_sci,,,
International Pro Am USA Student Film Competition,,No Extra Match,NaN,Selective,3,visualart,Communication,,
International Student Media Festival,,No Extra Match,NaN,Selective,3,visualart,,,
International Student Media Festival,,No Extra Match,NaN,Selective,3,visualart,,,
International Wilderness Experience (Cathay Pacific),,No Extra Match,NaN,Very Selective,4,tech_eng,,,
International Young Mathematicians' Convention ,,No Extra Match,NaN,Selective,3,math_sci,,,
International Young Physicists' Tournament,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Internet Problem Solving Contest,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Internet Science and Technology Fair,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Internet Science and Technology Fair,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Invent Now America,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Invest Write Essay Competition,,No Extra Match,NaN,Selective,3,social_sci,,,
ISB-IVEY Global Case Competition ,,No Extra Match,NaN,Very Selective,4,business,,,
ISEC 2008 (The International Science & Engineering Camp),,No Extra Match,NaN,Very Selective,4,math_sci,,,
"ISMTF (International Schools Mathematics Teachers Foundation) Competition à Middle School, Under 16, Over 16",,No Extra Match,NaN,Very Selective,4,math_sci,,,
I-SWEEP,International Sustainable World Engineering Energy Environment Project Olympiad,No Extra Match,NaN,Extremely Selective,5,math_sci,tech_eng,,
IYSIF,"International Youth Science & Innovation Fair, Indonesia Science Expo, ISE",No Extra Match,NaN,Extremely Selective,5,math_sci,tech_eng,,
Jane Austen Society of North America Essay Contest,,No Extra Match,NaN,Very Selective,4,humanities,,,
JANY business Plan Competition,,No Extra Match,NaN,Selective,3,business,,,
Japanese Language Proficiency Test (JLPT),,No Extra Match,NaN,Selective,3,humanities,,,
"Jessamy Stursberg Poetry Contest for Canadian Youth. 

",,No Extra Match,NaN,Selective,3,humanities,,,
JETS (Junior Engineering Technical Society) TEAMS Competition,,No Extra Match,NaN,Very Selective,4,math_sci,,,
JFK  Profile in Courage Essay Contest,,No Extra Match,NaN,Very Selective,4,humanities,,,
JMH International Psychology Essay Contest,,No Extra Match,NaN,Very Selective,4,social_sci,,,
Joseph S. Rumbaugh Historical Oration Contest,,No Extra Match,NaN,Very Selective,4,humanities,,,
Journal of Algebra,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Journal of Animal Science,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Journal of Artificial Intelligence Research,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Journal of Biological Chemistry,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Journal of Climate,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Journal of Experimental Medicine,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Journal of Fluid Mechanics,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Journal of Food Science,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Journal of Functional Programming,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Journal of Hydrologic Engineering,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Journal of Machine Learning Research,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Journal of Molecular Biology,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Journal of Neurochemistry,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Journal of Neurophysiology,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Journal of Nutrition,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Journal of Physical Oceanography,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Journal of Soil and Water Conversation,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Journal of the ACM,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Journal of the American Chemical Society,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Journal of the Royal Statistical Society,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Journal of Theoretical Biology,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Junior Peak Time,,No Extra Match,NaN,Very Selective,4,business,,,
"Junior Science & humanities, History, Languages Symposia (JSHS) Program ",,No Extra Match,NaN,Very Selective,4,math_sci,,,
"Junior Science and humanities, History, Languages Symposium",,No Extra Match,NaN,Very Selective,4,social_sci,,,
Just Add German Photo Contest,,No Extra Match,NaN,Selective,3,humanities,,,
KACR (Korea Advanced Institute for Creation Research) ,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Kansas Fort Hays State University Math Relay,,No Extra Match,NaN,Selective,3,math_sci,,,
Keep the Drive Journalism Awards,,No Extra Match,NaN,Very Selective,4,social_sci,Communication,,
Kent State University Fashion School Scholarship,,No Extra Match,NaN,Selective,3,visualart,,,
Kids Philosophy Slam,,No Extra Match,NaN,Selective,3,humanities,,,
kids vs global warming,,No Extra Match,NaN,Selective,3,math_sci,,,
Knights of Columbus Essay Contest,,No Extra Match,NaN,Selective,3,social_sci,,,
KöMaL Journal (in Hungary) ,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
KöMaL Journal (in Hungary)   ,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Krypto Contest,,No Extra Match,NaN,Mediocre,2,math_sci,,,
KSE International Student Olympiad in Applied Economics,,No Extra Match,NaN,Very Selective,4,business,,,
KSEF,Korea Science and Engineering Fair,No Extra Match,NaN,Very Selective,4,math_sci,tech_eng,,
LAMDA Exams in Spoken English and Public Speech,,No Extra Match,NaN,Mediocre,2,humanities,,,
LAMDA Exams in Spoken English and Public Speech,,No Extra Match,NaN,Mediocre,2,humanities,,,
Laws of Life Essay Contest,,No Extra Match,NaN,Selective,3,humanities,,,
Lead America - business & Entrepreneurship Conference,,No Extra Match,NaN,Mediocre,2,business,,,
Lead America - business & Leadership Conference at Babson College,,No Extra Match,NaN,Mediocre,2,business,,,
Lead America - Innovation in business,,No Extra Match,NaN,Mediocre,2,business,,,
Lead America National Student Conferences,,No Extra Match,NaN,Mediocre,2,social_sci,,,
Leaders of Tomorrow (LOT) Global Leadership Camp,,No Extra Match,NaN,Selective,3,social_sci,,,
Leaders of Tomorrow (LOT) National business Case Competition,,No Extra Match,NaN,Very Selective,4,business,,,
Leaders of Tomorrow (LOT) National Conference,,No Extra Match,NaN,Selective,3,social_sci,,,
Leadership Summit: business & Entrepreneurship,,No Extra Match,NaN,Mediocre,2,business,,,
Leadership Summit: Technology ,,No Extra Match,NaN,Selective,3,tech_eng,,,
LEAP! National Dance Competition  - Advanced Level,,No Extra Match,NaN,Selective,3,performing_arts,,,
Lemelson-M.I.T. InvenTeams,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Leukemia & Lymphoma Society,,No Extra Match,NaN,Selective,3,math_sci,,,
Lexus Environmental Challenge,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Light Metal Age,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
MADE In Missouri State Entrepreneurship Competition ,,No Extra Match,NaN,Selective,3,business,,,
Mandelbrot Competition,,No Extra Match,NaN,Very Selective,4,math_sci,,,
March of Dimes,,No Extra Match,NaN,Selective,3,math_sci,,,
Marine Advanced Technology Education (MATE) International ROV Competition,,No Extra Match,NaN,Selective,3,math_sci,,,
Math Kangaroo Contest,,No Extra Match,NaN,Selective,3,math_sci,,,
MATHCOUNTS ,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Matheletics (by County),,No Extra Match,NaN,Selective,3,math_sci,,,
Mathematica Centrum,,No Extra Match,NaN,Selective,3,math_sci,,,
Mathematical Olympiad Summer Program,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Mathematics League High School Contest,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Mayo Clinic Proceedings,,No Extra Match,NaN,Very Selective,4,math_sci,,,
MENA 100 business Plan Competition,,No Extra Match,NaN,Very Selective,4,business,,,
Michigan Math Prize Competition (MMPC),,No Extra Match,NaN,Very Selective,4,math_sci,,,
MIT $100K Entrepreneurship Competition,,No Extra Match,NaN,Very Selective,4,business,,,
MIT GSW (Global Startup Workshop) business Plan Competition ,,No Extra Match,NaN,Very Selective,4,business,,,
MIT IDEAS Global Challenge,,No Extra Match,NaN,Very Selective,4,business,,,
MIT Think Scholars Program,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Model United Nations,,No Extra Match,NaN,Mediocre,2,social_sci,,,
MoleClues,,No Extra Match,NaN,Selective,3,math_sci,,,
Moody's Mega Math Challenge,,No Extra Match,NaN,Very Selective,4,math_sci,,,
MSOE Entrepreneur and business Strategy Competition,,No Extra Match,NaN,Selective,3,business,,,
Music Teachers National Association Competition,,No Extra Match,NaN,Very Selective,4,Music,,,
My Feenix ,,No Extra Match,NaN,Very Selective,4,visualart,,,
My Park Photos Annual Scholarship Competition,,No Extra Match,NaN,Very Selective,4,visualart,,,
NAIS(National Association of Independent School) Challenge 20/20 ,,No Extra Match,NaN,Mediocre,2,social_sci,,,
NASA Dropping in a Microgravity Experiment,,No Extra Match,NaN,Very Selective,4,math_sci,,,
NASA Engineering Design Challenge,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
NASA Great Moonbuggy Race,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
NASA Space Settlement Contest,,No Extra Match,NaN,Very Selective,4,math_sci,,,
NASA WING Competition ,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
NASA-SHARP Program,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
Nation Student Writing Contest,,No Extra Match,NaN,Very Selective,4,humanities,,,
National Brain Bee,,No Extra Match,NaN,Very Selective,4,math_sci,,,
"National French Contest, Le Grand Concourse",,No Extra Match,NaN,Selective,3,humanities,,,
National Geographic Bee,,No Extra Match,NaN,Very Selective,4,social_sci,,,
National German Exam,,No Extra Match,NaN,Selective,3,humanities,,,
National Greek Exam,,No Extra Match,NaN,Selective,3,humanities,,,
National High School Ethics Bowl,,No Extra Match,NaN,Selective,3,humanities,,,
National High School Mock Trial Championship ,,No Extra Match,NaN,Very Selective,4,social_sci,,,
National High School Musical Theater Awards ,,No Extra Match,NaN,Very Selective,4,performing_arts,,,
National History Bowl,,No Extra Match,NaN,Very Selective,4,social_sci,,,
National History Day Contest,,No Extra Match,NaN,Very Selective,4,humanities,,,
National Individual Events Tournament of Champions ,,No Extra Match,NaN,Very Selective,4,social_sci,,,
National Japan Bowl,,No Extra Match,NaN,Selective,3,humanities,,,
National Junior Classical League Contests,,No Extra Match,NaN,Selective,3,humanities,,,
National Junior Solar Sprint,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
National Latin Exam,,No Extra Match,NaN,Selective,3,humanities,,,
National Ocean Sciences Bowl,,No Extra Match,NaN,Very Selective,4,math_sci,,,
National ProStart Invitational,,No Extra Match,NaN,Very Selective,4,Visual Art,,,
National Scholastic Press Association Competitions,NSPA,No Extra Match,NaN,Very Selective,4,humanities,Communication,,
National Science Bowl,,No Extra Match,NaN,Very Selective,4,math_sci,,,
National Science Decathon,,No Extra Match,NaN,Very Selective,4,math_sci,,,
National Spanish Exam,,No Extra Match,NaN,Selective,3,humanities,,,
National Student Leadership Conference ,,No Extra Match,NaN,Selective,3,social_sci,,,
National Student Leadership Conference on Engineering ,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
National Student Leadership Conference on Forensic Science ,,No Extra Match,NaN,Very Selective,4,math_sci,,,
National Student Leadership Conference on Sports Management,,No Extra Match,NaN,Selective,3,business,,,
National Weather Digest ,,No Extra Match,NaN,Very Selective,4,math_sci,,,
National WWII Museum Annual Essay Contest,,No Extra Match,NaN,Very Selective,4,social_sci,,,
National Young Physics Ambassador (10 students selected Nationally),,No Extra Match,NaN,Very Selective,4,math_sci,,,
Nature Biotechnology   ,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Nature Cell Biology   ,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Nature Chemical Biology    ,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Nature Chemistry           ,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Nature Medicine,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Nature Physics    ,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Nature Reviews Immunology,,No Extra Match,NaN,Very Selective,4,math_sci,,,
Naval Science Awards Program (NSAP),,No Extra Match,NaN,Very Selective,4,math_sci,,,
NCFL Grand National Speech & Debate Tournament ,,No Extra Match,NaN,Very Selective,4,social_sci,,,
NCTE Program to Recognize Excellence in Student Literary Magazines(PRESLM),,No Extra Match,NaN,Mediocre,2,humanities,Communication,,
"NDEO Artistic Merit, Leadership and Academic Achievement Award by NHSDA",,No Extra Match,NaN,Selective,3,performing_arts,,,
NEDC (National Engineering Design Challenge),,No Extra Match,NaN,Very Selective,4,tech_eng,,,
"NESDA (New European Speech, Debate, and Acting Association) Competition",,No Extra Match,NaN,Selective,3,social_sci,,,
Neuroscience for Kids Writing Contest,,No Extra Match,NaN,Selective,3,math_sci,,,
New Electronics,,No Extra Match,NaN,Very Selective,4,tech_eng,,,
New England Journal of Medicine,,No Extra Match,NaN,Very Selective,4,math_sci,,,
