class,title(english),big major category (important #1) - must input,big major category (important #2) - optional input,big major category (important #3) - optional input
summer,mathlinks,math_science,,
summer,math zoom summer academy,math_science,,
summer,rutgers young scholars program in discrete mathematics,math_science,,
summer,stanford clinical anatomy summer research scholars program,math_science,,
summer,stanford surgical anatomy for high school seniors and pre-med students,math_science,,
summer,google computer science summer institute (cssi),tech_engineering,,
summer,ucsf biomedical and health sciences internship for high school students,math_science,,
summer,iowa young writers studio,humanities,,
summer,sewanee young writers' conference,humanities,,
summer,harvard medical school dcp,math_science,,
summer,tufts university adventures in veterinary medicine program,pre-vet,,
summer,cnsi nanoscience lab program,math_science,tech_engineering,
summer,mathematics summer camp at stony brook university,math_science,,
summer,school of creative and performing arts summer camp,arts_performing,,
summer,the school of cinematic arts summer program at usc,visual arts,performing arts,communication
summer,bu summer investigative journalism workshop,humanities,social science,
summer,johns hopkins engineering innovation,tech_engineering,,
summer,rensselaer robotics engineering academy,tech_engineering,math_science,
summer,the rockefeller university summer neuroscience program,math_science,social science,
summer,u chicago research in the biological sciences (ribs),math_science,,
summer,high school field schools with archaeospain,social science,humanities,
summer,center for american archaeology high school field school,social science,humanities,
summer,summer journalism@nyu,social science,communication,humanities
summer,u of iowa summer journalism workshops,communication,humanities,social science
summer,hankuk university of foreign studies international summer session in korean & east asian studies,social science,,
summer,barnard college young women's leadership institute,"humanities, history, languages",social science,
summer,notre dame pre-college summer scholars program,"humanities, history, languages",social science,arts_performing
summer,u of notre dame leadership seminars,humanities,social science,
summer,emerson college summer journalism institute,social science,communication,humanities
summer,columbia epidemiology summer online course,social science,math_science,
summer,startalk u of mississippi,humanities,,
summer,middlebury monterey language academy,humanities,,
summer,the metropolitan museum of art summer internships for high school students,humanties,visual arts,
summer,tufts university european center summer program,humanities,social science,
summer,french heritage language program summer camp,humanities,social science,
summer,emory university youth theological initiative summer academy,humanities,,
summer,summer linguistics institute for youth scholars at ohio state university,humanities,social science,
summer,national security language initiative for youth (nsli-y),social science,humanities,
summer,brandeis university genesis summer program in social entrepreneurship,social science,business,
summer,wake forest school of medicines camp med,math_science,,
summer,university of miami nursing pre-entry program,math_science,,
summer,pharmacy summer camp at university of houston,math_science,,
summer,cleveland clinic pharmacy internship program,math_science,,
summer,the kansas university school of pharmacy summer camp,math_science,,
summer,julliard summer dance intensive,performing arts,,
summer,american dance festival program at duke university,performing arts,,
