TITLE(ENGLISH),strength,Big Major Category #1,Big Major Category #2,Big Major Category #3
Harvard Summer School Secondary School Program,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
Harvard Debate Council Summer Programs,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
SSEP (Summer Science & Engineering Program) at Smith College ,Mediocre,Math/Science,,
Yale Summer Session,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
Yale Young Global Scholars,Good,Social Science,,
Yale English for High School Students,Mediocre,Humanities,,
Georgetown University Pre-College,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
Summer Journalism Program Princeton University,Strong,Communication,Humanities,Social Science
UC Berkeley Summer Pre-Collegiate Program,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
UCLA Summer Session and Special Programs,Poor,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
Stanford High School Summer College,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
Stanford Pre-Collegiate Summer Institutes (formerly EPGY),Good,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
Stanford Summer Humanities Institute,Good,Humanities,,
U of Chicago Summer Session for High School Students,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
Northwestern U College Preparation Program,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
"Northwestern U National High School Institute (Cherubs)
",Good,Communication,Visual Arts,Performing Arts
Northwestern U Medill Cherub Journalism Program,Strong,Communication,Humanities,
(AMSP) AwesomeMath Summer Program,Good,Math/Science,,
Canada/USA Math Camp,Good,Math/Science,,
iD Tech Summer Computer Camp Programs,Poor,Tech/Engineering,,
UC San Diego Academic Connections Research Scholars,Strong,Math/Science,,
"UC San Diego Academic Connections Research Studies

",Mediocre,Math/Science,,
JSA Junior Statesmen of America Summer School,Good,"Social 
Science",Humanities,
"VAMPY Summer Program for Verbally and Pathematically Precocious Youths
",Good,Humanities,Engineering,
Startalk Chinese at Brigham Young U,Poor,Humanities,,
Startalk Arabic Brigham Young U,Poor,Humanities,,
Startalk ChineseU of Mississippi,Good,Humanities,,
Concordia Summer Villages,Poor,Humanities,,
The Great Books Summer Program,Poor,Humanities,,
ISSYP (International Summer School for Young Physicists),Superb,Math/Science,,
RISE (Research Internship in Science and Engineering) Boston U,Strong,Math/Science,Tech/Engineering,
Boston U High School Honors,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
Boston U High School Seminars,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
National Scholars Institute (NSI) U of Iowa,Mediocre,Math/Science,Humanities,
Secondary Student Training Program (SSTP) at U of Iowa,Mediocre,Math/Science,Tech/Engineering,
"High School BLIPS Berkeley Lab Internships for Precollegiate Students
",Strong,Math/Science,Tech/Engineering,
