bump
difficulty
disincentive
handicap
hardship
hindrance
hitch
hurdle
interference
obstruction
restriction
snag
stumbling block
bar
block
catch
check
clog
crimp
encumbrance
hamper
hang-up
interruption
joker
mountain
rub
traverse
vicissitude
Catch-22
booby trap
monkey wrench
barricade
blank wall
block
clog
deterrent
encumbrance
fence
hindrance
hurdle
impediment
obstacle
obstruction
pale
rail
railing
restraint
road block
snag
stop
stumbling block
traverse
wall
bar
check
difficulty
drawback
encumbrance
handicap
hindrance
hurdle
impediment
limitation
obstacle
pale
preventive
restraint
restriction
stumbling block
bar
check
difficulty
drawback
encumbrance
handicap
hindrance
hurdle
impediment
limitation
obstacle
pale
preventive
restraint
restriction
stumbling block
bar
barrier
blank wall
blockage
chunk
clog
hindrance
impediment
jam
mass
obstacle
obstruction
roadblock
snag
stop
stoppage
wall
bar
barricade
blank wall
clog
closure
embolus
encirclement
hindrance
impediment
infarct
infarction
obstacle
obstruction
restriction
roadblock
siege
snag
stop
stoppage
wall
bar
barricade
barrier
block
clog
hamper
hindrance
impasse
impediment
jam
obstacle
snag
stoppage
traverse
wall
objection
protest
test
threat
claiming
confrontation
dare
defiance
demanding
demur
interrogation
provocation
remonstrance
trial
ultimatum
summons to contest
setback
blow
defeat
delay
difficulty
hindrance
impediment
misfortune
obstacle
reversal
slowdown
stumbling block
trouble
about-face
bath
bottom
check
comedown
flip-flop
hitch
rebuff
regress
regression
reverse
upset
challenge
obstacle
bankruptcy
breakdown
collapse
decline
defeat
deficiency
deterioration
failing
loss
misstep
abortion
bomb
botch
bungle
bust
checkmate
decay
deficit
downfall
fiasco
flop
frustration
implosion
inadequacy
lemon
loser
mess
misadventure
miscarriage
nonperformance
overthrow
rout
rupture
stalemate
stoppage
turkey
washout
wreck
false step
faux pas
flash in the pan
lead balloon
nonsuccess
sinking ship
total loss
